detector,contamination,cooldown,precision,recall,f1,false_alarms,true_positives,false_negatives,predicted_anomalies
isolation_forest,0.05,96,0.3246779388083736,0.7111992945326279,0.44582642343836376,3355,1613,655,4968
isolation_forest,0.05,24,0.40989799773328295,0.4783950617283951,0.44150559511698884,1562,1085,1183,2647
isolation_forest,0.05,48,0.36290784201488263,0.5590828924162258,0.4401249566122874,2226,1268,1000,3494
isolation_forest,0.05,12,0.4546762589928058,0.41798941798941797,0.4355616815988973,1137,948,1320,2085
isolation_forest,0.05,0,0.6033568904593639,0.3011463844797178,0.40176470588235297,449,683,1585,1132
isolation_forest,0.02,96,0.3134590092064884,0.3152557319223986,0.3143548032534623,1566,715,1553,2281
isolation_forest,0.02,48,0.40296400846859565,0.2517636684303351,0.30990502035278156,846,571,1697,1417
isolation_forest,0.01,96,0.33861595351294244,0.2826278659611993,0.3080990146599375,1252,641,1627,1893
isolation_forest,0.02,24,0.5065989847715736,0.22001763668430335,0.3067937288656625,486,499,1769,985
isolation_forest,0.02,12,0.6116248348745046,0.20414462081128748,0.30611570247933884,294,463,1805,757
isolation_forest,0.01,48,0.4236999147485081,0.2191358024691358,0.2888695146759663,676,497,1771,1173
isolation_forest,0.01,24,0.5132408575031526,0.17945326278659612,0.2659261679189807,386,407,1861,793
isolation_forest,0.02,0,0.7593818984547461,0.15167548500881833,0.25284821756707093,109,344,1924,453
isolation_forest,0.01,12,0.6095076400679117,0.15828924162257496,0.2513125656282814,230,359,1909,589
isolation_forest,0.01,0,0.6299559471365639,0.06305114638447971,0.11462925851703407,84,143,2125,227
