detector,window,multiplier,cooldown,precision,recall,f1,false_alarms,true_positives,false_negatives,predicted_anomalies
rolling_iqr,288,2.0,96,0.14986209010113394,0.4312169312169312,0.2224243802592677,5548,978,1290,6526
rolling_iqr,288,1.5,96,0.1270466576388034,0.455026455026455,0.1986334327783659,7091,1032,1236,8123
rolling_iqr,288,2.0,48,0.14492753623188406,0.2777777777777778,0.19047619047619047,3717,630,1638,4347
rolling_iqr,288,1.5,48,0.1290033995348005,0.31790123456790126,0.18353060964744813,4868,721,1547,5589
rolling_iqr,288,1.5,24,0.13194941541398233,0.24382716049382716,0.17123393714197244,3638,553,1715,4191
rolling_iqr,576,1.5,96,0.11275106512477176,0.32671957671957674,0.1676470588235294,5831,741,1527,6572
rolling_iqr,288,1.5,12,0.1357808857808858,0.2054673721340388,0.16350877192982455,2966,466,1802,3432
rolling_iqr,288,2.0,24,0.1388712745719721,0.1931216931216931,0.16156399852452968,2716,438,1830,3154
rolling_iqr,288,1.5,0,0.15736466638690727,0.16534391534391535,0.16125564394753816,2008,375,1893,2383
rolling_iqr,576,1.5,0,0.1546793760831889,0.1574074074074074,0.15603146853146854,1951,357,1911,2308
rolling_iqr,576,1.5,48,0.11404237640216036,0.24206349206349206,0.1550409488844959,4265,549,1719,4814
rolling_iqr,576,1.5,24,0.12003179650238474,0.19973544973544974,0.1499503475670308,3321,453,1815,3774
rolling_iqr,576,1.5,12,0.1273184533165671,0.17857142857142858,0.14865112864745825,2776,405,1863,3181
rolling_iqr,288,2.0,12,0.13854704247717348,0.15388007054673722,0.14581157301023606,2170,349,1919,2519
rolling_iqr,144,1.5,96,0.0849143334726285,0.4479717813051146,0.1427668095271552,10949,1016,1252,11965
rolling_iqr,288,2.0,0,0.15230582524271843,0.11067019400352733,0.12819203268641471,1397,251,2017,1648
rolling_iqr,144,1.5,48,0.08159856078129016,0.27998236331569665,0.1263681592039801,7147,635,1633,7782
rolling_iqr,144,1.5,24,0.0871431237171114,0.20590828924162258,0.12245968270617542,4892,467,1801,5359
rolling_iqr,144,1.5,12,0.09482111583687766,0.16710758377425045,0.12098962490023943,3618,379,1889,3997
rolling_iqr,144,1.5,0,0.11929657794676807,0.11067019400352733,0.11482159194876487,1853,251,2017,2104
